Name,Twitter_username,Account_start_time,Account_ID,Sex,Birthplace,Birthday,Age,Instagram_username,Political_party,Surname
Annagrazia Calabria,AngieCalabria,,t2069084574,female,United States of America,1982-05-06 00:00:00+00:00,38.0,,Other,Calabria
Annise Parker,AnniseParker,2009-01-20 00:00:00+00:00,19249328,female,United States of America,1956-05-17 00:00:00+00:00,64.0,anniseparker,Democratic,Parker
Anthony Brindisi,RepBrindisi,2012-10-31 00:00:00+00:00,915831762,male,United States of America,1978-11-22 00:00:00+00:00,41.0,,Democratic,Brindisi
Anthony Brindisi,abrindisiny,2012-10-31 00:00:00+00:00,915831762,male,United States of America,1978-11-22 00:00:00+00:00,41.0,,Democratic,Brindisi
Anthony Brindisi,RepBrindisi,2019-01-04 00:00:00+00:00,1080978331535896576,male,United States of America,1978-11-22 00:00:00+00:00,41.0,,Democratic,Brindisi
Anthony Brindisi,abrindisiny,2019-01-04 00:00:00+00:00,1080978331535896576,male,United States of America,1978-11-22 00:00:00+00:00,41.0,,Democratic,Brindisi
Anthony Cannella,AnthonyCannella,2010-09-27 00:00:00+00:00,195638329,male,United States of America,1969-03-22 00:00:00+00:00,51.0,,Other,Cannella
Anthony Cannella,AnthonyCannella,2010-09-27 00:00:00+00:00,195638329,male,United States of America,1969-03-22 00:00:00+00:00,51.0,,Republican,Cannella
Anthony G. Brown,RepAnthonyBrown,2017-01-23 00:00:00+00:00,823552974253342721,male,United States of America,1961-11-21 00:00:00+00:00,58.0,repanthonybrown,Democratic,Brown
Anthony Gonzalez,RepAGonzalez,2018-10-22 00:00:00+00:00,1054381765224210432,male,United States of America,1984-09-18 00:00:00+00:00,36.0,,Republican,Gonzalez
Anthony Gonzalez,anthonygonzalez,2018-10-22 00:00:00+00:00,1054381765224210432,male,United States of America,1984-09-18 00:00:00+00:00,36.0,,Republican,Gonzalez
Anthony Gonzalez,RepAGonzalez,2017-08-22 00:00:00+00:00,900025544032624640,male,United States of America,1984-09-18 00:00:00+00:00,36.0,,Republican,Gonzalez
Anthony Gonzalez,anthonygonzalez,2017-08-22 00:00:00+00:00,900025544032624640,male,United States of America,1984-09-18 00:00:00+00:00,36.0,,Republican,Gonzalez
Anthony Portantino,Portantino,,,male,United States of America,1961-01-29 00:00:00+00:00,59.0,portantino,Democratic,Portantino
Anthony Rendon,Rendon63rd,2013-02-20 00:00:00+00:00,1200043633,male,United States of America,1968-03-04 00:00:00+00:00,52.0,,Other,Rendon
Anthony Scaramucci,scaramucci,2009-03-15 00:00:00+00:00,24578794,male,United States of America,1964-01-06 00:00:00+00:00,56.0,scaramucci,Republican,Scaramucci
Anthony Weiner,anthonyweiner,2012-01-01 00:00:00+00:00,452407641,male,United States of America,1964-09-04 00:00:00+00:00,56.0,,Democratic,Weiner
Antonio Cabral,RepTonyCabral,,,male,Portugal,1955-01-26 00:00:00+00:00,65.0,,Democratic,Cabral
Antonio Delgado,DelgadoforNY19,2017-02-07 00:00:00+00:00,829061809135030272,male,United States of America,1977-01-28 00:00:00+00:00,43.0,repantoniodelgado,Democratic,Delgado
Antonio Delgado,repdelgado,2017-02-07 00:00:00+00:00,829061809135030272,male,United States of America,1977-01-28 00:00:00+00:00,43.0,repantoniodelgado,Democratic,Delgado
Antonio Delgado,DelgadoforNY19,2019-01-02 00:00:00+00:00,1080485692298444800,male,United States of America,1977-01-28 00:00:00+00:00,43.0,repantoniodelgado,Democratic,Delgado
Antonio Delgado,repdelgado,2019-01-02 00:00:00+00:00,1080485692298444800,male,United States of America,1977-01-28 00:00:00+00:00,43.0,repantoniodelgado,Democratic,Delgado
Antonio Villaraigosa,antonio4ca,2019-07-22 00:00:00+00:00,1153371321947922433,male,United States of America,1953-01-23 00:00:00+00:00,67.0,antonioforcalifornia,Democratic,Villaraigosa
Aravella Simotas,AravellaSimotas,2009-05-01 00:00:00+00:00,37055926,female,Zimbabwe,1978-10-09 00:00:00+00:00,42.0,,Democratic,Simotas
Ari Fleischer,AriFleischer,,,male,United States of America,1960-10-13 00:00:00+00:00,60.0,,Republican,Fleischer
Arianna Huffington,ariannahuff,2009-02-25 00:00:00+00:00,21982720,female,Greece,1950-07-15 00:00:00+00:00,70.0,ariannahuff,Democratic,Huffington
Arne Duncan,arneduncan,2015-12-27 00:00:00+00:00,4662969794,male,United States of America,1964-11-06 00:00:00+00:00,56.0,,Democratic,Duncan
Arthur B. Robinson,artforcongress,,t2087572521,male,United States of America,1942-03-24 00:00:00+00:00,78.0,,Republican,Robinson
Arthur J. Jones,artjonescongres,2018-02-04 00:00:00+00:00,960396814456426496,male,United States of America,1948-01-01 00:00:00+00:00,72.0,,Republican,Jones
Arthur J. Jones,artjonescongres,2018-02-04 00:00:00+00:00,960396814456426496,male,United States of America,1948-01-01 00:00:00+00:00,72.0,,Other,Jones
Arthur J. Jones,artjonescongres,2018-02-04 00:00:00+00:00,960396814456426496,male,United States of America,1948-01-01 00:00:00+00:00,72.0,,Other,Jones
Arthur Purves,votepurves,2011-01-22 00:00:00+00:00,241674047,male,Germany,1949-02-21 00:00:00+00:00,71.0,,Republican,Purves
Artur Davis,ArturDavis,2009-01-28 00:00:00+00:00,19677673,male,United States of America,1967-10-09 00:00:00+00:00,53.0,,Republican,Davis
Artur Davis,ArturDavis,2009-01-28 00:00:00+00:00,19677673,male,United States of America,1967-10-09 00:00:00+00:00,53.0,,Democratic,Davis
Arturs Krišjānis Kariņš,krisjaniskarins,2009-12-28 00:00:00+00:00,99914275,male,United States of America,1964-12-13 00:00:00+00:00,55.0,,Other,Kariņš
Asa Hutchinson,AsaHutchinson,2011-03-21 00:00:00+00:00,269992801,male,United States of America,1950-12-03 00:00:00+00:00,69.0,govasahutchinson,Republican,Hutchinson
Ash Kalra,Ash_Kalra,,,male,Canada,1972-01-21 00:00:00+00:00,48.0,ash_kalra,Other,Kalra
Ashley Hinson,hinsonashley,2008-12-01 00:00:00+00:00,18189966,female,United States of America,1983-06-27 00:00:00+00:00,37.0,ahinsonwbal,Other,Hinson
Ashley Hinson,hinsonashley,2008-12-17 00:00:00+00:00,18189966,female,United States of America,1983-06-27 00:00:00+00:00,37.0,ahinsonwbal,Other,Hinson
Augustus Sol Invictus,EmperorInvictus,2015-05-18 00:00:00+00:00,3219461544,male,United States of America,1983-07-31 00:00:00+00:00,37.0,thewizardofthorntonpark,Other,Invictus
Aumua Amata,RepAmata,2009-01-24 00:00:00+00:00,19447958,female,United States of America,1947-12-29 00:00:00+00:00,72.0,,Republican,Amata
Aumua Amata,amata96799,2009-01-24 00:00:00+00:00,19447958,female,United States of America,1947-12-29 00:00:00+00:00,72.0,,Republican,Amata
Aumua Amata,RepAmata,2015-02-09 00:00:00+00:00,3026622545,female,United States of America,1947-12-29 00:00:00+00:00,72.0,,Republican,Amata
Aumua Amata,amata96799,2015-02-09 00:00:00+00:00,3026622545,female,United States of America,1947-12-29 00:00:00+00:00,72.0,,Republican,Amata
Austin Petersen,AP4Liberty,,,male,United States of America,1981-02-19 00:00:00+00:00,39.0,ap4liberty,Republican,Petersen
Austin Petersen,the_producer14,,,male,United States of America,1981-02-19 00:00:00+00:00,39.0,ap4liberty,Republican,Petersen
Austin Petersen,AP4Liberty,,,male,United States of America,1981-02-19 00:00:00+00:00,39.0,ap4liberty,Other,Petersen
Austin Petersen,the_producer14,,,male,United States of America,1981-02-19 00:00:00+00:00,39.0,ap4liberty,Other,Petersen
Austin Petersen,AP4Liberty,2015-12-31 00:00:00+00:00,4686170306,male,United States of America,1981-02-19 00:00:00+00:00,39.0,ap4liberty,Republican,Petersen
Austin Petersen,the_producer14,2015-12-31 00:00:00+00:00,4686170306,male,United States of America,1981-02-19 00:00:00+00:00,39.0,ap4liberty,Republican,Petersen
Austin Petersen,AP4Liberty,2015-12-31 00:00:00+00:00,4686170306,male,United States of America,1981-02-19 00:00:00+00:00,39.0,ap4liberty,Other,Petersen
Austin Petersen,the_producer14,2015-12-31 00:00:00+00:00,4686170306,male,United States of America,1981-02-19 00:00:00+00:00,39.0,ap4liberty,Other,Petersen
Austin Scott,AustinScottGA08,2011-01-06 00:00:00+00:00,234797704,male,United States of America,1969-12-10 00:00:00+00:00,50.0,,Republican,Scott
Ayanna Pressley,RepPressley,2019-01-02 00:00:00+00:00,1080584229510172678,female,United States of America,1974-02-03 00:00:00+00:00,46.0,ayannapressley,Democratic,Pressley
Ayanna Pressley,AyannaPressley,2019-01-02 00:00:00+00:00,1080584229510172678,female,United States of America,1974-02-03 00:00:00+00:00,46.0,ayannapressley,Democratic,Pressley
Ayanna Pressley,RepPressley,2009-04-14 00:00:00+00:00,31013444,female,United States of America,1974-02-03 00:00:00+00:00,46.0,ayannapressley,Democratic,Pressley
Ayanna Pressley,AyannaPressley,2009-04-14 00:00:00+00:00,31013444,female,United States of America,1974-02-03 00:00:00+00:00,46.0,ayannapressley,Democratic,Pressley
Barack Obama,BarackObama,2013-06-01 00:00:00+00:00,822215679726100480,male,United States of America,1961-08-04 00:00:00+00:00,59.0,barackobama,Democratic,Obama
Barack Obama,BarackObama,2013-06-21 00:00:00+00:00,1536791610,male,United States of America,1961-08-04 00:00:00+00:00,59.0,barackobama,Democratic,Obama
Barack Obama,BarackObama,2017-01-20 00:00:00+00:00,1536791610,male,United States of America,1961-08-04 00:00:00+00:00,59.0,barackobama,Democratic,Obama
Barack Obama,BarackObama,2007-03-05 00:00:00+00:00,813286,male,United States of America,1961-08-04 00:00:00+00:00,59.0,barackobama,Democratic,Obama
Barbara Boxer,Barbara_Boxer,,,female,United States of America,1940-11-11 00:00:00+00:00,80.0,senatorboxer,Democratic,Boxer
Barbara Buono,BarbaraBuono,,,female,United States of America,1953-07-28 00:00:00+00:00,67.0,,Democratic,Buono
Barbara Cegavske,VoteBarbara,2016-04-20 00:00:00+00:00,722853818682048513,female,United States of America,1951-08-27 00:00:00+00:00,69.0,,Republican,Cegavske
Barbara Comstock,RepComstock,2014-12-20 00:00:00+00:00,2933760046,female,United States of America,1959-06-30 00:00:00+00:00,61.0,repbarbaracomstock,Republican,Comstock
Barbara L'Italien,teambarbara,2010-09-02 00:00:00+00:00,186281365,female,United States of America,1961-01-03 00:00:00+00:00,59.0,,Democratic,L'Italien
Barbara Lee,repbarbaralee,2011-02-07 00:00:00+00:00,248735463,female,United States of America,1946-07-16 00:00:00+00:00,74.0,repbarbaralee,Democratic,Lee
Barbara Mikulski,senatorbarb,2010-04-12 00:00:00+00:00,132278386,female,United States of America,1936-07-20 00:00:00+00:00,84.0,,Democratic,Mikulski
Barney Frank,barneyfrank,2013-07-22 00:00:00+00:00,1614054846,male,United States of America,1940-03-31 00:00:00+00:00,80.0,,Democratic,Frank
Barry Finegold,Barry_Finegold,,,male,United States of America,1971-03-03 00:00:00+00:00,49.0,,Democratic,Finegold
Barry Knight,BarryKnight81,2015-02-20 00:00:00+00:00,3047585753,male,United States of America,1954-09-26 00:00:00+00:00,66.0,,Republican,Knight
Barry Loudermilk,RepLoudermilk,2014-12-10 00:00:00+00:00,2914163523,male,United States of America,1963-12-22 00:00:00+00:00,56.0,reploudermilk,Republican,Loudermilk
Bart Stupak,RealBartStupak,2017-07-10 00:00:00+00:00,884486017692180481,male,United States of America,1952-02-29 00:00:00+00:00,68.0,,Democratic,Stupak
Ben Barnes,benbarnes,2014-12-05 00:00:00+00:00,2920014210,male,United States of America,1938-04-17 00:00:00+00:00,82.0,,Democratic,Barnes
